smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
CCC1cccccc(C1=C)OCCc1ccc(c(=CCC(C)=O)cc1C=CCN(C)O)O	True	C=C1C(OCCC2=CC=C(O)C(=CCC(C)=O)C=C2C=CCN(C)O)=CC=CC=CC1CC	3	2.884145	2
COc1ccc2c3c([nH]c2c1)CNCO3	True	COc1ccc2c3c([nH]c2c1)CNCO3	3	2.8901858	3
COc1c2c(n1)Cc1nc2ccc(Cl)c(CN)c1	True	COC1=C2C3=NC(=CC(CN)=C(Cl)C=C3)CC2=N1	3	2.717762	3
CC(CCP(=O)(O)CC(C)C(=O)C(CCc1cc2cc1)C(=O)NCc1ccccc2)c1	True	CC1C=C2C=CC=CC=C3C=CC(=C3)CCC(C(=O)NC2)C(=O)C(C)CP(=O)(O)CC1	3	2.884409	3
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	True	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	3	3.3035457	3
NS(=O)(=O)c1ccc(NC(=O)N2CCCC2CCCNc2ccc([N+](=O)[O-])cc2)cc1	True	NS(=O)(=O)c1ccc(NC(=O)N2CCCC2CCCNc2ccc([N+](=O)[O-])cc2)cc1	3	2.6442595	3
O=[N+]([O-])c1ccc(CNc2ncnc3c2NCC3C2OC(CO)CCC2)cc1	True	O=[N+]([O-])c1ccc(CNc2ncnc3c2NCC3C2CCCC(CO)O2)cc1	3	4.243354	4
CC12CCC3C(CC(C(=O)OCNC)CC=CC(=O)O)CC3(O)C2C1	True	CNCOC(=O)C(CC=CC(=O)O)CC1CC2(O)C1CCC1(C)CC12	3	3.7019653	3
OC1=NC(c2ccccc2C=CCCO)COC(-c2ccccc2Cl)C1N	True	NC1C(O)=NC(c2ccccc2C=CCCO)COC1c1ccccc1Cl	3	3.5889435	3
Nc1c2c(nc3ccccc13)C1C2C1	True	Nc1c2c(nc3ccccc13)C1CC21	3	3.7801056	4
Oc1ccc(N=Nc2coc3ccc=Nccncnc32)c(O)c1O	True	Oc1ccc(N=Nc2coc3c2=NC=NC=CN=C=CC=3)c(O)c1O	3	3.4617949	3
Oc1nc2ccccc2c2ncccc2nc1CC1CCCCC1	True	OC1=Nc2ccccc2-c2ncccc2N=C1CC1CCCCC1	3	4.1166406	4
CCN1C(C)=C(C)ccccc(NNC(=O)C)cn(Cc2ccc(Cl)cc2)c1=O	True	CCN1C(=O)N(Cc2ccc(Cl)cc2)C=C(NNC(C)=O)C=CC=CC(C)=C1C	3	2.884189	2
OCC1CCC(c2ccccc2)=NC1=O	True	O=C1N=C(c2ccccc2)CCC1CO	3	2.0494313	2
Cc1ccccc1CC(=NNC(=O)NC1c2ccccc2OC)cc1	True	COc1ccccc1C1C=CC(Cc2ccccc2C)=NNC(=O)N1	3	2.7741392	3
CCCNC(CC)C1CCc2c(ccc2c1)OCCO	True	CCCNC(CC)C1C=C2C=CC(OCCO)=C2CC1	3	2.1657503	2
Cc1ccc(C(=O)Nc2ccc(C3=N)n3cccc2)cn1	True	Cc1ccc(C(=O)Nc2ccccn3c(=N)c3cc2)cn1	3	2.9375756	3
COc1ccc(C=C2OC3(C)cc3NC=N2=O)CCCCO1	True	COC1=CC=C(C=C2OC3(C)C=C3NC=[N+]2[O-])CCCCO1	3	3.1315744	3
Oc1ccc(-c2cc3ccccc3s2)cc1	True	Oc1ccc(-c2cc3ccccc3s2)cc1	3	3.152719	3
c1ccc(CCCC2CNC(c3ccccc3)CN2)cc1	True	c1ccc(CCCC2CNC(c3ccccc3)CN2)cc1	3	3.124898	3
Cc1ccc2nc(NS)c(-c3ccccc3O)ccc1C2	True	CC1=CC=C2CC1=CC=C(c1ccccc1O)C(NS)=N2	3	3.2160769	3
N#Cc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1	True	N#Cc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1	3	3.0074475	3
Nc1c2cc3cccc(F)cc2c3c1O	True	NC1=C2C=C3C=CC=C(F)C=C2C3=C1O	3	3.0536616	3
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2ccc(Cl)c(Cl)c2)c1	True	O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2ccc(Cl)c(Cl)c2)c1	3	2.9674292	3
CC(=O)NC(Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1CC(CO)NCc2cccccccc12O	True	CC(=O)NC(Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1CC(CO)NCC2=CC=CC=CC=CC21O	3	3.1125803	3
