smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
CC(C)c1cc(Oc2c(Br)cc(NC(CO)CO)cc2BO)c1BO	True	CC(C)C1=CC(Oc2c(Br)cc(NC(CO)CO)cc2BO)=C1BO	2	1.7978294	2
O=C(O)CCC(CC(=O)NCCCc1ccccc1)c1ccc(Cl)cc1	True	O=C(O)CCC(CC(=O)NCCCc1ccccc1)c1ccc(Cl)cc1	2	2.081347	2
CC(C)N1CCN(C(=O)NCc2ccc(Cl)c(Cl)c2)CCC1	True	CC(C)N1CCCN(C(=O)NCc2ccc(Cl)c(Cl)c2)CC1	2	2.0224257	2
C#CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	True	C#CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	2	2.0028105	2
N#Cc1ccc(C(=O)CCCN)CC2cccc2cc1	True	N#CC1=CC=C(C(=O)CCCN)CC2C=CC=C2C=C1	2	2.1265721	2
CC(C)c1cc(OC(=O)c(C)cc1)c1ccc(O)cc1	True	CC1=CC=C(C(C)C)C=C(c2ccc(O)cc2)OC1=O	2	1.8715551	2
O=C(c1ccc(O)cc1)c1ccc(Cl)cc1	True	O=C(c1ccc(O)cc1)c1ccc(Cl)cc1	2	1.9345429	2
CN(C)CCC(NC(=O)C1CCCC1)NC(=O)c1ccccc1[N+](=O)[O-]	True	CN(C)CCC(NC(=O)c1ccccc1[N+](=O)[O-])NC(=O)C1CCCC1	2	2.0132778	2
NS(=O)(=O)c1ccc(CCC(=O)CN(CCS)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1	True	NS(=O)(=O)c1ccc(CCC(=O)CN(CCS)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1	2	1.92536	2
COC(=O)c1ccc(NC(=O)NNCCOc2ccccc2C)cc1	True	COC(=O)c1ccc(NC(=O)NNCCOc2ccccc2C)cc1	2	2.0331757	2
CCC(COc1cccc(C(F)(F)F)c1)OC(=O)Nc1ccccc1	True	CCC(COc1cccc(C(F)(F)F)c1)OC(=O)Nc1ccccc1	2	1.9405112	2
NNCCCOc1ccccc1Sc1ccc(C(F)(F)F)cc1	True	NNCCCOc1ccccc1Sc1ccc(C(F)(F)F)cc1	2	1.9601164	2
O=C(Nc1ccc(C(C)(F)F)cc1)c1cc(Cl)nc(Cl)n1	True	CC(F)(F)c1ccc(NC(=O)c2cc(Cl)nc(Cl)n2)cc1	2	2.1452265	2
CCCC(CCc1c(Cl)cc2cc(C(=O)O)cc1C=C)C2	True	C=CC1=CC(C(=O)O)=CC2=CC(Cl)=C1CCC(CCC)C2	2	1.920207	2
CN(C)C(=O)c1ccc(C(=O)C(NC(=O)c2ccc(Br)cc2)C(F)(C)C)c(C)c1	True	Cc1cc(C(=O)N(C)C)ccc1C(=O)C(NC(=O)c1ccc(Br)cc1)C(C)(C)F	2	2.0217857	2
Cc1c(C)c2ccc(OCCCCCN(C)CC2)cc1	True	CC1=C(C)C2=CC=C(C=C1)OCCCCCN(C)CC2	2	2.0057898	2
CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1ccccc1Cl	True	CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1ccccc1Cl	2	1.9799488	2
COc1cc(C=C2SC(=S)NC2=O)cc(OC)c1O	True	COc1cc(C=C2SC(=S)NC2=O)cc(OC)c1O	2	2.1104815	2
CCCc1ccc(S(=O)(=O)C=C(O)C(=O)OC)n1Cc1ccc(F)c(Cl)c1	True	CCCc1ccc(S(=O)(=O)C=C(O)C(=O)OC)n1Cc1ccc(F)c(Cl)c1	2	1.9953923	2
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(C)C(=O)OC)cc1	True	CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(C)C(=O)OC)cc1	2	2.2620866	2
CCCCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)c2cc(OC3CCNCO3)nc(-c3ccccc3)n2)CC1	True	CCCCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)c2cc(OC3CCNCO3)nc(-c3ccccc3)n2)CC1	2	3.9343958	4
CCCCCCNC(=O)C(Cc1ccccc1)NC(=O)OC(C(=O)Nc1ccc([N+](=O)[O-])cc1)CN	True	CCCCCCNC(=O)C(Cc1ccccc1)NC(=O)OC(CN)C(=O)Nc1ccc([N+](=O)[O-])cc1	2	2.064487	2
CCOc1ccc(OCc2ccc(Cl)c(Cl)c2C(N)=O)cc1	True	CCOc1ccc(OCc2ccc(Cl)c(Cl)c2C(N)=O)cc1	2	1.871732	2
Cn1ccc(CCNC2CNCC2)ccn1	True	CN1C=CC(CCNC2CCNC2)=CC=N1	2	2.2256374	2
COc1cc(CNC(=S)NCC(COC(=O)C(C)(C)C)Cc2ccc(C)c(C)c2)cc(Cl)c1OC	True	COc1cc(CNC(=S)NCC(COC(=O)C(C)(C)C)Cc2ccc(C)c(C)c2)cc(Cl)c1OC	2	1.9553609	2
NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)CN1CC1	True	NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)CN1CC1	2	2.4810123	3
N#CC(CC(N)=O)NC(=O)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1	True	N#CC(CC(N)=O)NC(=O)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1	2	1.9074385	2
CC(C)(C)c1ccc(S(=O)(=O)c2ccc(NS(C)(=O)=O)c(F)c2)ccc(N)c1	True	CC(C)(C)C1=CC=C(S(=O)(=O)c2ccc(NS(C)(=O)=O)c(F)c2)C=CC(N)=C1	2	2.233994	2
NC(C(=O)O)c1ccccc1C(=O)c1ccc(Br)cc1F	True	NC(C(=O)O)c1ccccc1C(=O)c1ccc(Br)cc1F	2	1.8980999	2
O=C(C=CNc1ccccc1)c1ccccc1	True	O=C(C=CNc1ccccc1)c1ccccc1	2	2.0038092	2
O=C1NC(=O)C(=Cc2ccc(O)cc2)S1	True	O=C1NC(=O)C(=Cc2ccc(O)cc2)S1	2	1.9537137	2
Cc1c(C)c2ccc(OCC(C(C)C)cc2)cc(OC)cc1O	True	COc1cc2ccc(c(C)c(C)c(O)c1)C=CC(C(C)C)CO2	2	2.0979295	2
NS(=O)(=O)c1ccccc1NS(=O)(=O)c1ccc(Cl)cc1	True	NS(=O)(=O)c1ccccc1NS(=O)(=O)c1ccc(Cl)cc1	2	1.8788025	2
CN(C)C(=O)OCC1(C#N)C(=O)N(CCc2ccccc2)CCOC(CO)C1	True	CN(C)C(=O)OCC1(C#N)CC(CO)OCCN(CCc2ccccc2)C1=O	2	2.1582706	2
COP(=O)(CCCC=O)C(CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC	True	CNC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CC1CCCCC1)P(=O)(CCCC=O)OC	2	2.2236724	2
CC(C1=C(c2ccccc2)C)C(N)=C1	True	CC(=C1C=C(N)C1C)c1ccccc1	2	1.993509	2
Cc1nc(-c2ccc(C(F)(F)F)cc2)ncc1CC(C)(C)C=O	True	Cc1nc(-c2ccc(C(F)(F)F)cc2)ncc1CC(C)(C)C=O	2	2.2292392	2
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(C(N)=O)C(C)O	True	CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(C(N)=O)C(C)O	2	1.746871	2
