smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
O=c1[nH]cnc2ccccc2[nH]1	True	O=C1NC=Nc2ccccc2N1	-2	0.4938065	1.4814999999999998
O=c1[nH]c(=O)n2CC(CCC3CCOCO3)nc12	True	O=C1NC(=O)N2CC(CCC3CCOCO3)N=C12	-2	-0.32589477	-0.13790000000000013
Cc1n[nH]c(=O)NCC(=O)O1	True	CC1=NNC(=O)NCC(=O)O1	-2	-0.59089327	-0.8242000000000003
Nc1ncnc2c1ncn2C1OC(OOP(=O)(O)O)P(OOP(OO)(O)O)O1	True	Nc1ncnc2c1ncn2C1OC(OOP(=O)(O)O)P(OO[PH](O)(O)OO)O1	-2	-3.6485896	-0.6199000000000003
O=c1[nH]nnn1C(CCCC(O)P(O)C(P(=O)(O)O)CO)O	True	O=c1[nH]nnn1C(O)CCCC(O)P(O)C(CO)P(=O)(O)O	-2	-2.5485415	-2.1687000000000007
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.4938607	-1.7351000000000008
O=c1[nH]cnc2c1CCn2CP(COCOP(=O)(O)O)COO	True	O=c1[nH]cnc2c1CCN2CP(COO)COCOP(=O)(O)O	-2	-2.8558264	0.05979999999999991
O=c1[nH]c(=O)n(CCCCO)c([N+](=O)[O-])c1O	True	O=c1[nH]c(=O)n(CCCCO)c([N+](=O)[O-])c1O	-2	-1.3751649	-1.0771000000000002
CCCCCCCCCC(CC(COP(=O)PO)PP(=O)(O)OP(=O)(O)O)C(=O)O	True	CCCCCCCCCC(CC(CO[PH](=O)PO)PP(=O)(O)OP(=O)(O)O)C(=O)O	-2	2.3560743	4.466900000000009
Cc1n[nH]c(C)c1CC(=O)NCC1cc(F)nc1CCC	True	CCCC1=NC(F)=CC1CNC(=O)Cc1c(C)n[nH]c1C	-2	2.856151	2.3670400000000003
O=P(O)(O)C(O)(CCCC(P(=O)O)P(=O)(O)O)P(=O)(O)O	True	O=[PH](O)C(CCCC(O)(P(=O)(O)O)P(=O)(O)O)P(=O)(O)O	-2	-2.941319	-0.8710000000000002
O=c1[nH]cnc2c(CNC(CO)COCOP(=O)(O)O)C2CC1	True	O=C1CCC2C(CNC(CO)COCOP(=O)(O)O)=C2N=CN1	-2	-1.9155976	-1.1575000000000002
O=c1[nH]cnc2nc(CCPCC(C)C)OP(=O)C(OO)c2[nH]1	True	CC(C)CPCCC1=NC2=C(NC(=O)NC=N2)C(OO)[PH](=O)O1	-2	-1.0387574	1.9403
N#Cc1cn(C2nC(OCCCCOP(=O)(O)O)O2)c(=O)[nH]c1=O	True	N#Cc1cn(C2NC(OCCCCOP(=O)(O)O)O2)c(=O)[nH]c1=O	-2	-1.6025292	-1.3261200000000006
O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)cc1CC(O)CCO	True	O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)cc1CC(O)CCO	-2	-1.561803	-1.4437000000000006
O=P(O)(O)C(CNOCC1CO)OC1OP(=O)(O)O	True	O=P(O)(O)OC1OC(P(=O)(O)O)CNOCC1CO	-2	-1.5941242	-1.9144999999999994
CC(C)=CCCC(C)=CCOP(O)P(OP(P(=O)(O)OP(=O)(O)O)OO)C(=O)O	True	CC(C)=CCCC(C)=CCOP(O)P(OP(OO)P(=O)(O)OP(=O)(O)O)C(=O)O	-2	2.222002	5.017600000000004
CC(=O)NC1C(OC)NCC(c1OP(=O)(O)C)P(CC(=O)O)C(N)=O	True	COC1NCC(P(CC(=O)O)C(N)=O)C(OP(C)(=O)O)C1NC(C)=O	-2	-1.7999164	-0.7189999999999979
O=c1[nH]cnc2c1nnn2CCNCCCCP(=O)(O)O	True	O=c1[nH]cnc2c1nnn2CCNCCCCP(=O)(O)O	-2	-1.3316263	-0.9379000000000008
NS(=O)(=O)CS(=O)(=O)OC	True	COS(=O)(=O)CS(N)(=O)=O	-2	-1.8794461	-1.791399999999999
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O	True	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O	-2	-2.5586748	-1.7460000000000009
O=c1[nH]cnc2c1ncn2CC(P(OP(=O)(O)O)O)CP(=O)(O)O	True	O=c1[nH]cnc2c1ncn2CC(CP(=O)(O)O)P(O)OP(=O)(O)O	-2	-1.8942658	-0.9206000000000003
C[N+](C)(C)CCCS(=O)(=O)[O-]	True	C[N+](C)(C)CCCS(=O)(=O)[O-]	-2	-1.1684409	-0.3721000000000001
O=c1[nH]c(=S)n(COCCO)C(O)C(O)(O)OCC1O	True	O=C1NC(=S)N(COCCO)C(O)C(O)(O)OCC1O	-2	-3.680458	-3.9961999999999978
O=P(O)(O)C(=O)O	True	O=C(O)P(=O)(O)O	-2	-1.1807467	-0.15790000000000004
O=c1[nH]nc(NC(=O)COC2)NC(=O)C2S1(=O)=O	True	O=C1COCC2C(=O)NC(=NNC(=O)S2(=O)=O)N1	-2	-1.2706975	-2.973399999999999
O=c1[nH]c(=O)n(C2OC(=O)C(O)C(O)c2O)cc1Br	True	O=C1OC(n2cc(Br)c(=O)[nH]c2=O)C(O)C(O)C1O	-2	-3.6190724	-2.5627999999999993
O=c1[nH]cnc2c1ncnnCCOC(COP(=O)(O)O)C2	True	O=c1[nH]cnc2c1N=CN=NCCOC(COP(=O)(O)O)C2	-2	-2.4239535	-0.06750000000000023
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)OP(=O)(O)O)C(O)C2)OC1=O	True	O=c1ccn(C2CC(O)C(COP(=O)(P)OP(=O)(O)OP(=O)(O)O)O2)oc1=O	-2	-2.3464475	-0.3240000000000005
NS(=O)(=O)c1nnc(CCNP(=O)(O)OP(=O)(O)O)C(O)C1O	True	NS(=O)(=O)C1=NN=C(CCNP(=O)(O)OP(=O)(O)O)C(O)C1O	-2	-5.158459	-3.0457999999999994
O=c1[nH]cnc2c1ncn2CCOOCC(O)COO	True	O=c1[nH]cnc2c1ncn2CCOOCC(O)COO	-2	-3.4494658	-1.0817
Nc1ncnc2c1ncn2C1OC(COP(=P)(O)OPC=O)(OO)C(O)C1O	True	Nc1ncnc2c1ncn2C1OC(COP(O)(=P)OPC=O)(OO)C(O)C1O	-2	-3.8853679	-0.5254000000000003
